販売日,商品コード,数量,販売先
2020/01/15,A002,2,東京商事
2020/01/16,A001,7,沖縄観光
2020/01/17,A003,4,九州電鉄
2020/01/17,H001,5,大阪工業
2020/01/17,A002,3,北海道海運
2020/01/18,H001,6,大阪工業
2020/01/19,A001,1,東京商事
2020/01/21,A001,8,名古屋物産
2020/01/21,A003,5,大阪工業
2020/01/21,M001,9,名古屋物産
2020/01/21,H002,2,北海道海運
2020/01/23,A003,1,沖縄観光
2020/01/24,A002,3,沖縄観光
2020/01/25,H002,6,東京商事
2020/01/28,A001,7,北海道海運
2020/01/28,A003,4,大阪工業
2020/01/28,H002,4,大阪工業
2020/01/29,A003,6,名古屋物産
2020/01/30,M002,5,沖縄観光
2020/01/31,M002,2,東京商事
2020/02/01,A002,3,沖縄観光
2020/02/01,A003,2,大阪工業
2020/02/01,A001,5,北海道海運
2020/02/01,M002,1,大阪工業
2020/02/02,A001,10,沖縄観光
2020/02/03,A003,6,東京商事
2020/02/04,A001,3,大阪工業
2020/02/04,H001,1,沖縄観光
2020/02/08,M002,2,仙台物流
2020/02/08,A001,4,東京商事
2020/02/08,M002,7,大阪工業
2020/02/08,A001,9,名古屋物産
2020/02/09,M001,15,仙台物流
2020/02/10,A003,6,沖縄観光
2020/02/10,A002,1,東京商事
2020/02/13,H002,8,大阪工業
2020/02/13,A001,5,沖縄観光
2020/02/14,A003,9,仙台物流
2020/02/15,H002,2,東京商事
